Team,Stadium,LatD,LatM,LatS,LonD,LonM,LonS
Arsenal,Emirates Stadium,51,33,18,-0,6,31
Aston Villa,Villa Park,52,30,33,-1,53,5
Bournemouth,Dean Court (Vitality Stadium),50,44,7,-1,50,18
Brighton and Hove Albion,Falmer Stadium (The Amex),50,51,41.76,-0,5,1.32
Burnley,Turf Moor,53,47,21,-2,13,49
Chelsea,Stamford Bridge,51,28,54,-0,11,28
Crystal Palace,Selhurst Park,51,23,54,-0,5,8
Everton,Goodison Park,53,26,20,-2,57,59
Leicester City,King Power Stadium,52,37,13,-1,8,32
Liverpool,Anfield,53,25,51,-2,57,39
Manchester City,Etihad Stadium,53,28,59,-2,12,1
Manchester United,Old Trafford,53,27,47,-2,17,29
Newcastle United,St. James' Park,54,58,32,-1,37,18
Norwich City,Carrow Road,52,37,19.7,1,18,31.5
Sheffield United,Bramall Land,53,22,13,-1,28,15
Southampton,St Mary's Stadium,50,54,21,-1,23,28
Tottenham Hotspur,White Hart Lane,51,36,12,-0,3,57
Watford,Vicarage Road,51,38,59.4,-0,24,5.35
West Ham United,London Stadium (Olympic Stadium),51,32,19,-0,0,59
Wolverhampton Wanderers,Molineux Stadium,52,35,25,-2,7,49
